"link";"category";"common name";"species name";"country"
2;"Speckled forest-pitviper";"Bothrops taeniatus";"Colombia"
1;"South American rattlesnake";"Crotalus durissus";"Colombia"
2;"Chocoan bushmaster";"Lachesis acrochorda";"Colombia"
2;"Bushmaster";"Lachesis muta";"Colombia"
2;"South American coralsnake";"Micrurus lemniscatus";"Colombia"
2;"Red-tailed coralsnake";"Micrurus mipartitus";"Colombia"
2;"Central American coralsnake";"Micrurus nigrocinctus";"Colombia"
2;"Amazonian coralsnake";"Micrurus spixii";"Colombia"
2;"Coralsnakes";"Micrurus spp.";"Colombia"
2;"Aquatic coralsnake";"Micrurus surinamensis";"Colombia"
2;"Lansberg's hognosed pitviper";"Porthidium lansbergii";"Colombia"
2;"Rainforest hognosed pitviper";"Porthidium nasutum";"Colombia"
2;"Variable bush viper";"Atheris squamigera";"Congo"
2;"Variable burrowing asp";"Atractaspis irregularis";"Congo"
2;"Puff adder";"Bitis arietans";"Congo"
1;"East African Gaboon viper";"Bitis gabonica";"Congo"
1;"Rhinoceros viper";"Bitis nasicornis";"Congo"
1;"Jameson's mamba";"Dendroaspis jamesoni";"Congo"
2;"Boomslang";"Dispholidus typus";"Congo"
2;"Banded water cobra";"Naja annulata";"Congo"
2;"Christy's water cobra";"Naja christyi";"Congo"
1;"Forest cobra";"Naja melanoleuca";"Congo"
2;"Black-necked spitting cobra";"Naja nigricollis";"Congo"
2;"Gold's tree cobra";"Pseudohaje goldii";"Congo"
2;"Forest vine or twig snake";"Thelotornis kirtlandii";"Congo"
2;"Common cantil";"Agkistrodon bilineatus";"Costa Rica"
2;"Central American jumping pitviper";"Atropoides mexicanus";"Costa Rica"
2;"Jumping pitvipers";"Atropoides spp.";"Costa Rica"
2;"Side-striped palm-pitviper";"Bothriechis lateralis";"Costa Rica"
2;"Eyelash palm-pitviper";"Bothriechis schlegelii";"Costa Rica"
2;"Palm-pitvipers";"Bothriechis spp.";"Costa Rica"
1;"Terciopelo";"Bothrops asper";"Costa Rica"
2;"Godman's montane pitviper";"Cerrophidion godmani";"Costa Rica"
1;"Middle American rattlesnake";"Crotalus simus";"Costa Rica"
2;"Black-headed bushmaster";"Lachesis melanocephala";"Costa Rica"
2;"Central American bushmaster";"Lachesis stenophrys";"Costa Rica"
2;"Central American coralsnake";"Micrurus nigrocinctus";"Costa Rica"
2;"Coralsnakes";"Micrurus spp.";"Costa Rica"
2;"Rainforest hognosed pitviper";"Porthidium nasutum";"Costa Rica"
2;"Slender hognosed pitviper";"Porthidium ophryomegas";"Costa Rica"
2;"Hognosed pitvipers";"Porthidium spp.";"Costa Rica"
2;"West African bush viper";"Atheris chlorechis";"Côte d'Ivoire"
2;"Variable burrowing asp";"Atractaspis irregularis";"Côte d'Ivoire"
1;"Puff adder";"Bitis arietans";"Côte d'Ivoire"
1;"Rhinoceros viper";"Bitis nasicornis";"Côte d'Ivoire"
1;"West African Gaboon viper";"Bitis rhinoceros";"Côte d'Ivoire"
2;"Black mamba";"Dendroaspis polylepis";"Côte d'Ivoire"
1;"Western green mamba";"Dendroaspis viridis";"Côte d'Ivoire"
2;"Boomslang";"Dispholidus typus";"Côte d'Ivoire"
1;"West African carpet viper";"Echis ocellatus";"Côte d'Ivoire"
2;"West African brown spitting cobra";"Naja katiensis";"Côte d'Ivoire"
1;"Forest cobra";"Naja melanoleuca";"Côte d'Ivoire"
1;"Black-necked spitting cobra";"Naja nigricollis";"Côte d'Ivoire"
1;"Senegalese cobra";"Naja senegalensis";"Côte d'Ivoire"
2;"Gold's tree cobra";"Pseudohaje goldii";"Côte d'Ivoire"
2;"Black tree cobra";"Pseudohaje nigra";"Côte d'Ivoire"
2;"Forest vine or twig snake";"Thelotornis kirtlandii";"Côte d'Ivoire"
1;"Nose-horned viper";"Vipera ammodytes";"Croatia"
2;"European adder";"Vipera berus";"Croatia"
2;"Meadow viper";"Vipera ursinii";"Croatia"
2;"Levant viper";"Macrovipera lebetina";"Cyprus"
2;"European adder";"Vipera berus";"Czech Republic"
1;"Short-tailed Mamushi";"Gloydius brevicaudus";"Democratic People's Republic of Korea"
2;"Central Asian pitviper";"Gloydius intermedius";"Democratic People's Republic of Korea"
2;"Ussuri Mamushi";"Gloydius ussuriensis";"Democratic People's Republic of Korea"
2;"European adder";"Vipera berus";"Democratic People's Republic of Korea"
2;"Variable bush viper";"Atheris squamigera";"Democratic Republic of the Congo"
2;"Bibron's burrowing asp";"Atractaspis bibronii";"Democratic Republic of the Congo"
2;"Variable burrowing asp";"Atractaspis irregularis";"Democratic Republic of the Congo"
1;"Puff adder";"Bitis arietans";"Democratic Republic of the Congo"
1;"East African Gaboon viper";"Bitis gabonica";"Democratic Republic of the Congo"
1;"Rhinoceros viper";"Bitis nasicornis";"Democratic Republic of the Congo"
1;"Jameson's mamba";"Dendroaspis jamesoni";"Democratic Republic of the Congo"
2;"Black mamba";"Dendroaspis polylepis";"Democratic Republic of the Congo"
2;"Boomslang";"Dispholidus typus";"Democratic Republic of the Congo"
2;"Anchieta's cobra";"Naja anchietae";"Democratic Republic of the Congo"
2;"Banded water cobra";"Naja annulata";"Democratic Republic of the Congo"
2;"Christy's water cobra";"Naja christyi";"Democratic Republic of the Congo"
2;"Egyptian cobra";"Naja haje";"Democratic Republic of the Congo"
1;"Forest cobra";"Naja melanoleuca";"Democratic Republic of the Congo"
1;"Black-necked spitting cobra";"Naja nigricollis";"Democratic Republic of the Congo"
2;"Gold's tree cobra";"Pseudohaje goldii";"Democratic Republic of the Congo"
2;"Savanna vine or twig snake";"Thelotornis capensis";"Democratic Republic of the Congo"
2;"Forest vine or twig snake";"Thelotornis kirtlandii";"Democratic Republic of the Congo"
2;"European adder";"Vipera berus";"Denmark"
2;"False burrowing asp";"Atractaspis fallax";"Djibouti"
2;"Puff adder";"Bitis arietans";"Djibouti"
2;"Boomslang";"Dispholidus typus";"Djibouti"
1;"East African carpet viper";"Echis pyramidum";"Djibouti"
2;"Red spitting cobra";"Naja pallida";"Djibouti"
2;"Eyelash palm-pitviper";"Bothriechis schlegelii";"Ecuador"
2;"Amazonian toad-headed pitviper";"Bothrocophias hyoprora";"Ecuador"
2;"Small-eyed toad-headed pitviper";"Bothrocophias microphthalmus";"Ecuador"
2;"Toad-headed pitvipers";"Bothrocophias spp.";"Ecuador"
1;"Terciopelo";"Bothrops asper";"Ecuador"
1;"Common lancehead";"Bothrops atrox";"Ecuador"
1;"Two-striped forest-pitviper";"Bothrops bilineatus";"Ecuador"
2;"Brazil's lancehead";"Bothrops brazili";"Ecuador"
2;"Lanceheads";"Bothrops spp.";"Ecuador"
2;"Speckled forest-pitviper";"Bothrops taeniatus";"Ecuador"
2;"Chocoan bushmaster";"Lachesis acrochorda";"Ecuador"
1;"Bushmaster";"Lachesis muta";"Ecuador"
2;"South American coralsnake";"Micrurus lemniscatus";"Ecuador"
2;"Red-tailed coralsnake";"Micrurus mipartitus";"Ecuador"
2;"Amazonian coralsnake";"Micrurus spixii";"Ecuador"
2;"Coralsnakes";"Micrurus spp.";"Ecuador"
2;"Aquatic coralsnake";"Micrurus surinamensis";"Ecuador"
2;"Rainforest hognosed pitviper";"Porthidium nasutum";"Ecuador"
2;"Hognosed pitvipers";"Porthidium spp.";"Ecuador"
2;"Israeli mole viper";"Atractaspis engaddensis";"Egypt"
1;"Horned viper";"Cerastes cerastes";"Egypt"
1;"Burton's carpet viper";"Echis coloratus";"Egypt"
1;"East African carpet viper";"Echis pyramidum";"Egypt"
1;"Egyptian cobra";"Naja haje";"Egypt"
2;"Nubian spitting cobra";"Naja nubiae";"Egypt"
2;"Field's horned viper";"Pseudocerastes fieldi";"Egypt"
2;"Desert cobra";"Walterinnesia aegyptia";"Egypt"
2;"Common cantil";"Agkistrodon bilineatus";"El Salvador"
2;"Guatemalan jumping pitviper";"Atropoides occiduus";"El Salvador"
2;"Palm-pitvipers";"Bothriechis spp.";"El Salvador"
2;"Godman's montane pitviper";"Cerrophidion godmani";"El Salvador"
1;"Middle American rattlesnake";"Crotalus simus";"El Salvador"
2;"Central American coralsnake";"Micrurus nigrocinctus";"El Salvador"
2;"Slender hognosed pitviper";"Porthidium ophryomegas";"El Salvador"
2;"Variable bush viper";"Atheris squamigera";"Equatorial Guinea"
2;"Variable burrowing asp";"Atractaspis irregularis";"Equatorial Guinea"
1;"East African Gaboon viper";"Bitis gabonica";"Equatorial Guinea"
1;"Rhinoceros viper";"Bitis nasicornis";"Equatorial Guinea"
1;"Jameson's mamba";"Dendroaspis jamesoni";"Equatorial Guinea"
2;"Banded water cobra";"Naja annulata";"Equatorial Guinea"
1;"Forest cobra";"Naja melanoleuca";"Equatorial Guinea"
2;"Gold's tree cobra";"Pseudohaje goldii";"Equatorial Guinea"
2;"Forest vine or twig snake";"Thelotornis kirtlandii";"Equatorial Guinea"
2;"Variable burrowing asp";"Atractaspis irregularis";"Eritrea"
1;"Puff adder";"Bitis arietans";"Eritrea"
1;"Black mamba";"Dendroaspis polylepis";"Eritrea"
2;"Boomslang";"Dispholidus typus";"Eritrea"
2;"Big-headed carpet viper";"Echis megalocephalus";"Eritrea"
1;"East African carpet viper";"Echis pyramidum";"Eritrea"
1;"Egyptian cobra";"Naja haje";"Eritrea"
2;"Nubian spitting cobra";"Naja nubiae";"Eritrea"
2;"European adder";"Vipera berus";"Estonia"
2;"False burrowing asp";"Atractaspis fallax";"Ethiopia"
2;"Variable burrowing asp";"Atractaspis irregularis";"Ethiopia"
1;"Puff adder";"Bitis arietans";"Ethiopia"
2;"Ethiopian mountain adder";"Bitis parviocula";"Ethiopia"
1;"Black mamba";"Dendroaspis polylepis";"Ethiopia"
2;"Boomslang";"Dispholidus typus";"Ethiopia"
1;"East African carpet viper";"Echis pyramidum";"Ethiopia"
1;"Ashe's spitting cobra";"Naja ashei";"Ethiopia"
1;"Egyptian cobra";"Naja haje";"Ethiopia"
2;"Forest cobra";"Naja melanoleuca";"Ethiopia"
1;"Black-necked spitting cobra";"Naja nigricollis";"Ethiopia"
2;"Red spitting cobra";"Naja pallida";"Ethiopia"
2;"European adder";"Vipera berus";"Finland"
1;"Asp viper";"Vipera aspis";"France"
